password,hashed_password,strength,weak_property
ciXJuX0,4514ddd0be0fab2a0e99beb48f027eefe156126cfe99fc53cb24c40bfbcc9a6f,Weak,Too short (<8 characters)
A9yXj24XL#q,9b4b8ef27e4956380426d701945bde38dd98e2893fbcc159b605aedb1968c5c5,Strong,Good balance of characters
Gb&QwsD@SPk,209732546afa6c8475f854e2c595599d37454d60d4f75cb0061731221ca39067,Medium,Include at least one number
L*1UUlYR8orG#0H,6becf01143effbe91613f2af05cf5452b07afc495083261e3dd0c82366b4dce0,Very Strong,Good balance of characters
Y$$SqOWazJXDHi03,a60372f0ba952d8946ff6f0d15ebc246fe9c6ed324fc35c3530603df1e7af350,Very Strong,Good balance of characters
MYY4QOysgq4loW,67bfa09dea884647d0154dc05a61e196a6b46e9b7b2f0aa8ebe983838599c8ba,Medium,"Include at least one special character (@, #, $, etc.)"
mNxzUT7gh4,5a873039e73fc79176993df3c3d802b1abcec628d99086e1248857fa49c5c469,Medium,"Include at least one special character (@, #, $, etc.)"
7K0fiOwV4lTQY,f70378ccac7c074255d062ee87a0d57699531f6929d0e6178b3b59237932cb83,Medium,"Include at least one special character (@, #, $, etc.)"
BxXVADR,f8130bc2d2193c2408e7f62223cd91ca2035bf8ef610c3511d8b4ff67041b802,Weak,Too short (<8 characters)
K&QHO3DnvY,0731338bef8e368436fe967de6612d830b6da267b080168b948131c41cfdf004,Strong,Good balance of characters
?G6@TIs,c4cd1b2db3ba8a00bb2a1d54fff03c72c86b239748a806e304c4ab93265090ef,Weak,Too short (<8 characters)
0A4zXS*Ms9B,91344e017f9ed09396cbdd1b54b2bb2c9d3bb807d24e647b3f47ce32f19b3bbe,Strong,Good balance of characters
evy%8X1uldVXm78$,40779707fd5c0ae2af4a2d003465c48cebc02ffbd94bfc8e915da3a19a95ec89,Very Strong,Good balance of characters
Uoe&7XpBXE6J6,16945a870e6a1d8339e1dbfd0d573c9a86fd5022a62fb2d3c9da7fd66ec634ac,Very Strong,Good balance of characters
cUCUI,e36b6fa5fbc20996a3906841e177afa0d4bfe856cd6e86c63d5849d31ae9c4d2,Weak,Too short (<8 characters)
oGmOXxVAYzHkuh!m,cc5a06ef86f5b55e28360f759835dbdd7d58ced68517d989a5ca59fdf703fb4e,Medium,Include at least one number
nHGix9xL3VuKnUs%,8e3dc019633c244b9ac26cdf8e1a91119e5e903a91ec12cc6f0f804c89e4ee13,Very Strong,Good balance of characters
ZmAXe2m1Q,afcdafc25a98b972d5ec31b845221689d4415e3944a08a56a6657d6ae3cbf722,Medium,"Include at least one special character (@, #, $, etc.)"
@00QwdJD,e1c3d526b3679abf16d0c468ec8cc4b9d7d1cbd541d70aa80a89fe7e3528f480,Strong,Good balance of characters
$NsEis3%I?oYrdH,6002ac49c7adc63d5069122d06201b4b27106720344002ac05efc43a8d892b37,Very Strong,Good balance of characters
3vBkrsG,1aadce2ec9baa82099ff2954bb414bc83ca0fcef31ac5a4c8b6452f5b5d7bd38,Weak,Too short (<8 characters)
OyYM#PXw47v,1055a4c4f35e6b555a2c4ed26cf1e4c9a8fd1fd8ead5911aef7c2955bf54aa4e,Strong,Good balance of characters
aJaC7&IqIH,fdff0d6d01959fa60273b6610bfdf3c243131ff9c32b04619fde1ab9b5e7023e,Strong,Good balance of characters
AczptyxcS#tS,1cb5fb993effcfc9588e66a8ba80644cd285556f079f21d8b20dee686c487449,Medium,Include at least one number
eOv5TZ,25df357167d0e1917da32e821531b1626590fab684060ccd43fe174e04cbdcf5,Weak,Too short (<8 characters)
vjnnwbStNB1M,7417c09f5eb6ec557d117c3dc64252d3441796dbbb776f351354c28bfc7b77eb,Medium,"Include at least one special character (@, #, $, etc.)"
XewqRpa4h$Azk,c47afde4fbe12283e7606c32165e648c74bc0fba256cc385224c5fb1e4998234,Very Strong,Good balance of characters
ToXe4RTtkOl,7102577ea924426b27074d458efcd1ff412b014567d2964c5a14428a997525ad,Medium,"Include at least one special character (@, #, $, etc.)"
DLDcfdMM*N&mMc,7eb5dda064b0f08ecf89133fdd3338608d6cfd783801c8fc27dd46879bb81160,Medium,Include at least one number
H17QH3ZNmqWqP,73620384fe29546c3b2d482bca0061aabc7f616fdcbb600bcf4e6b9d50964522,Medium,"Include at least one special character (@, #, $, etc.)"
DNg&WXixYpbM,bff0791dc9c786cca0399a1d540f3765d9f694a1f69b0787bdc07d4f3a5eeb80,Medium,Include at least one number
YNTU3,8c776998e87cb49435ce40eabf70645fbc2a5a5e6861a291211cfaff54705009,Weak,Too short (<8 characters)
JC#0a2S@VecUG8,06de1e42ca98eccbf88b514a1743074c3bbd6aa2975a92af069eb36c8f8de56d,Very Strong,Good balance of characters
5yhNFdS0MN0xUa5f,f03677f43ae1fc0553a7a349bec5b98252ce8e8bacfdd0c02cfda8e6839626e3,Medium,"Include at least one special character (@, #, $, etc.)"
!yLi9Sj,8309921026d475b7b3e58ab0767510fde1cffa34c82bb5c28eef6efed8e813aa,Weak,Too short (<8 characters)
UAkFJPobfbZl,fd3cb3e07497a52a64dd01266735ffd557c53376ee6d839832d22e7c259c20be,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
clh5kSW5Jy,8e8b3fd8e141e91a31f514fdd1e400b9cda770d9be6771002bd4f95a2b1ff261,Medium,"Include at least one special character (@, #, $, etc.)"
#Q!8a1DlmbN?HVqt,45428dba357d11a88c9128c52048bb634060dab4f19179491f4780279f7ead85,Very Strong,Good balance of characters
e*QF!Md@mhne9uEq,331638cc0bf062504f251ebc753efa2282530fd5fe107d056d23ff695838d89d,Very Strong,Good balance of characters
Wqn01aLnkn%,3889cfcc76e4bb231642fa79fa3b36e19bfca88b32d8be9d1422997e24d07d6a,Strong,Good balance of characters
B&XQ!Ot2,f537fd6c46ff35c1e4dc5b9727be3a02001f2ddf46f1258648ae7e8cdbd5dcea,Strong,Good balance of characters
AQPd5OSQ74dLvcB,6ef0c8a12369dc8041118ee0957527a1f45de7655da72d286978adec3e3f16ed,Medium,"Include at least one special character (@, #, $, etc.)"
f@u&D#*g,c2e4c09061d40789f01d0b2b4efb4fb55f840aae3dccb2adc4a259c3d0bda6ca,Medium,Include at least one number
4TD@b&J,5a37ed13147fb1dd338cf909c21f894e43b82715336ab9ee6ec8c9290c78218b,Weak,Too short (<8 characters)
i@!vgVhK&if!HK6S,f7195fabffd7df80e4762ec9b9569d980069e6b22711f70b9bc82799a01758e4,Very Strong,Good balance of characters
LThc9HplPy?0jG&,46baf21fccf2d455eeefac8f6dec3c439f922ed824cb9b1bb6604c05859a51fe,Very Strong,Good balance of characters
M$jE2PNkddT!,1b3a61e0f9a89db42fe38b352d4ec2ed517bac42a3e242ff1dea948b9030d83f,Very Strong,Good balance of characters
asvWQh,af20be9b66c0811d1c951acd93292fbd0e997fbde398582f0497789d836062ca,Weak,Too short (<8 characters)
VAv$#5WT,9ada1d86d08ac89bd397e4aeeb57902981be4f1a47af8308e9075e280f2b8584,Strong,Good balance of characters
sx!Br2v4MGT,e522cf975d4459f5355d747aa2b9036d4a7c80d310fab8114aa7efc0e0651ac7,Strong,Good balance of characters
%YCbHpo,e2a4077e945ac2637e4974581b3068dfc67394108594105a035af94650a8e736,Weak,Too short (<8 characters)
6&o!K*K2r,25ce8499a09c8823f314e554a865ea07f5cd863533314b304794b9f1157c1a7b,Strong,Good balance of characters
dLK#grlt9&fH,fb8484db1773e1c1561b2e521f66a1b3f884b331670256c9d71aa4e2a8b447a8,Very Strong,Good balance of characters
PgTG!qcB!*,dadd557be488769ed71fc494454608e4078f6bf052fa1758f3247c2d13094c95,Medium,Include at least one number
WoR0v44,a6b123ea5cf0e2c6d887397aa34c53403c25ed51613c99a3a04cd1215b411d61,Weak,Too short (<8 characters)
us0B6DnxVDR6,89edf37ce3e6277201460e56112bf7eeacfa7fa31c2862efb00104ec42511bd7,Medium,"Include at least one special character (@, #, $, etc.)"
DhP8rZM$UMIIOguP,4f29e782e59497dfaad81c704174b6569e13e6cc54519da584afede1aa62cfeb,Very Strong,Good balance of characters
h8YV!G**nr,7c0029863567902decb5ba796c5eca9259391b9139ae90e27e6c29510bcd07de,Strong,Good balance of characters
Sz1dZ#n1We,76cafd9a1b16906b2452ce52607d7b08fd4516a1307c51d46aa3bd6b59ca9575,Strong,Good balance of characters
DhiKAb5t,a319590b5c54df78704f1ce96c665d4e2b73283edd1900620c1c3af3285b85db,Medium,"Include at least one special character (@, #, $, etc.)"
LvHphqlLGS#%x8,5dc61fb79910c89f90277c3f7ca4e01d6ab19a79d617d668995cf5321423b467,Very Strong,Good balance of characters
8!W43B$Hy!Uk,7ee7e610cf752cb8b39ae18dd3efd48d4ba411d45a2c84478e88119f548c4872,Very Strong,Good balance of characters
7s3yIUtNd6wli,99385f85487f2c29dc98674d676cd657a4779f1109847a4fe885c5bb4b4db42e,Medium,"Include at least one special character (@, #, $, etc.)"
&2qN?gDA#PVd,f3edd51e01b2806a64709fb0ac10144b622d988988801dbd871476668c7233d0,Very Strong,Good balance of characters
8KooVzxylrEY,a255d7ba0a13f7e7f7bbb53acbc24c64835fd78956ce4ad29126a02a2077f54b,Medium,"Include at least one special character (@, #, $, etc.)"
FniAi5FJw5iW,ab0623b0eb44c39dd6a915928e9d552dbb28e254dbb97a7417bea23b9f44b71c,Medium,"Include at least one special character (@, #, $, etc.)"
i?zyw9by5r2JP,0e4125f23185551bc98b82f76c73de024e6608d63271a81acc8a15d9ce26025d,Very Strong,Good balance of characters
U3BJEW@!7oA,472161b91baeffe69bab3347350f3381e45aac70bc0a19d0fc2ab2e99dfa8648,Strong,Good balance of characters
e77TML%Eg,a2b852c7aabd2b4b67881a08b44b90dfe1e2fd9a0c92ce1218722f8e98028e64,Strong,Good balance of characters
%4Z$1JCAQ9zOvw1,29bfa96f49752157e131a8bd7438e44c93285739278249dd596d663b85c27d2d,Very Strong,Good balance of characters
MF%GDQTV?,e41a1f30d1075ca4df3eaa8cd78141d68c99ab23cd1e1799d82c5fc31b1953d2,Medium,"Add at least one lowercase letter, Include at least one number"
7LJe*9jQFBVcm,0fe06fb7cfc7e15d5b9923d26dab1c32fb1b637bbecfe84758b6d1da75d5acf7,Very Strong,Good balance of characters
!6jsX!#VcIML,d7f2ad3cb7018f7e7855fea203c6369d3393e1d949af431827d6cf436a16696b,Very Strong,Good balance of characters
wqWDtZViOFQq,578b457a9d4f200f8618247b75ea1e30df85d27835a2a2d8b670449a39c1c66d,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
RfLo#cvo5aBZ,697a0f60a9e4cdb80d887f3c33ebec8e5988a6c6995f93c36da6458c2feaba35,Very Strong,Good balance of characters
2fq!j#4N,4bb42321d0780dc5e7b0c372ff411952835825f0eb35674ab473727fd910356b,Strong,Good balance of characters
Qr7o3*2#aI%,879c8726e3203f1e75f93a1cc469476a06755c0e2bb68536632a82291d2468de,Strong,Good balance of characters
nnqi56BAkPEb2RC0,5197914a99f7b4fd945208a9e9db78f86a09f29bd0d12360a9d67bcbc9720f17,Medium,"Include at least one special character (@, #, $, etc.)"
paCUXL0JIZGCP,7e8bde46d8335f3278ca6d6e3c1ab13d45f9c03773efcce03694c1714bf314c6,Medium,"Include at least one special character (@, #, $, etc.)"
cj2sV,3090cc367de8b12d7c5646ae38b5db3311a4a4493516844f0f4f6c7d83b91899,Weak,Too short (<8 characters)
FLtkx8t,ebaf189c2dab7dc5bc40c1e2daca50057cefeffc7b43a28855f6c08e11f78b79,Weak,Too short (<8 characters)
ZtdGX2t,41d597c6aba01f16470bf54d6f2e6d1f667fe5325392351215e2bf995201154a,Weak,Too short (<8 characters)
lO$lxB1XXwucvOg,d7e1ab16e0112eebe6abaaa8d2ceba731ae2577411e6a4ac74fdf83fd0529161,Very Strong,Good balance of characters
b$uqgZ5*7f%GJIeC,ff6dfa76bd15ab787e816d88f523e7d135d3d0fa66005b0fe84be04be65fc228,Very Strong,Good balance of characters
xJ@WRiYh!IIOYxvo,97c8a5b4c3a8497e1bddf1753a75dd0e752946635607b7e47233ec4d3ea3e5e9,Medium,Include at least one number
KjH&?gVoyPBQGYa,368f3ed35399d925ecc06d454b5d7035b4dc9a5d64380dd8e634eb80f4168dca,Medium,Include at least one number
vOXnKO,d521785adaa38453833f74bf8224c3ef11e68aafc479b3b205d7c79dad5e3dc8,Weak,Too short (<8 characters)
949xndw,5f2044aa76266319d87c4fd6106445332b78f85b88fa93f5509d757f3ac83f41,Weak,Too short (<8 characters)
DkQ9aaMz,41a69cb8fdc3882949a4f16ce4fe7ed671c38d3c6e24234fd68ff7fc669a05e4,Medium,"Include at least one special character (@, #, $, etc.)"
tpzvr21Ynt,5a42191906c09e2c92c314bab1392a83dd1b7d47ed5aa8ae88b2e61dc157a1a1,Medium,"Include at least one special character (@, #, $, etc.)"
PO$x?HOtsS!VE*1,89aa41550e768f29f1a0626d7ff67d4a489e2ec9522df63eddace78c91c8a001,Very Strong,Good balance of characters
AcsaarMJk1JRQqGJ,5b587a398b145dc9342a2dd6c06d550955f218f8d8971928daf60b5aa69997cd,Medium,"Include at least one special character (@, #, $, etc.)"
gPlJuwX,28c755a1a3486ca7c43c7f612c526bc5eed39f40e56b1567c66d74c8b378de17,Weak,Too short (<8 characters)
Uie5e2e?Yq,654a321f5937afdf5107c53258d8541832fcb55bf711281ee5c46472e6860623,Strong,Good balance of characters
HUF335D8Ig!*,5a808f8281488d427c12aa6507d82afaa28b765f3e4118008d7b4f2bd9d2f1e2,Very Strong,Good balance of characters
pubOnbsTbjxO5f,1678dd80480b348df53d0580cac30398c5ff5e4c0530496f72e91ac3649b6903,Medium,"Include at least one special character (@, #, $, etc.)"
LIDaQ8o4,9a9c6a8c41d227f83e6478b58f8bb1eb0d341e71666dc3a182f13a1625588399,Medium,"Include at least one special character (@, #, $, etc.)"
*OYzNEdkWY!d?U,761917cfd31b7d793486615c43f58e39a18d1db7ba8ca7cf82c09d4f4e16688a,Medium,Include at least one number
kpKQf#,87bc28ca84fd0d3f3e451b4b3c909b3c7e8d8f66665058ac2727439dc4c1d009,Weak,Too short (<8 characters)
Eifmb$Kg,1b41975ee88e12778c1ac980f71043e0aa4e04e9216554cbdd7e1a5577959694,Medium,Include at least one number
d#Q6YsB,14db9a53386f99d00b96b3f488e014db9ebeabef99724e010b48fb3cf9a2c2a3,Weak,Too short (<8 characters)
9RuN4EPhSr5@E,23f77de03944810bc65f62ad63fceb4bd3333ed05b694f8f449fc739ad87ff25,Very Strong,Good balance of characters
j@bRYEvLD!wa,221388a05162ee2dabd7ca3f992ac3c0362ed46272cd298e442e3f69acff46ce,Medium,Include at least one number
2@t5KRbL@,07233ff5abfca751e8360dc809ff3649a1ecd438a36054ba3d5a3ddcbec8fcc0,Strong,Good balance of characters
VSwCCQvU9*&*,2d340466f3dcbe4bf3b0df79bdbcc77cfcd2de7880d0aa039018e0e6b8e451ea,Very Strong,Good balance of characters
#fPt&TVu&d4,a26c45d858770423860632c95f8a9d5ac27c73e79bfd5233bffa062e1e39bf1c,Strong,Good balance of characters
hhoO05Lh,6971e6f8b3cbf947047a7279e5946a77bb720b0346519f2438323868d2f63037,Medium,"Include at least one special character (@, #, $, etc.)"
taNxxKehV*i,8ca46f65887d88475465e5b65679d2b89988142ed138c4a27229d153fce72cab,Medium,Include at least one number
R&dS4mt,9cdb59e2174d1b85f0e8957e4340fb2b3bc5c92dd4c13ca53e749d79a738602f,Weak,Too short (<8 characters)
IjH?P5oe#oR4x0,65defe30a545803e18d2e5fab5b3b1a034daf6c2757c98ef6fc5dc4a4e9f0633,Very Strong,Good balance of characters
XNHY%Y,620c587facff13465a87b50a7d5d8e1533afe4b1a13a5a83163a82230e3cb112,Weak,Too short (<8 characters)
@LkP#43yB,36126d4185b2c10445f4c7d60a1a7041a1b8a20506673b5f1dcb1a5393f75035,Strong,Good balance of characters
EP*$0ObDcM4z,af1c19973f8fed8a5163430213d6c47f70cfc3bd6ccc61088400bf42c98efc74,Very Strong,Good balance of characters
N46h5ku2Lf,65f188f599ec2960bd92d2da617663282429111f9d0d313eed6e9b98a0658b56,Medium,"Include at least one special character (@, #, $, etc.)"
Fx3i3N#@p,0e664b67f343d7a04fb2abade5dd7ebe1b9a94b1a0b5d441bec6e0440cbaf042,Strong,Good balance of characters
Ar@ZvpD3RmP32qn,c00c24c160bac88b5d5de963c6b5693d90aca201f4d65b65bad9e9625adc1c59,Very Strong,Good balance of characters
rq2eDVd,d7cde5819c318e9c44e06dd79886b87f6b9dd50c29a7c1aaf4a0b01aa3ddca58,Weak,Too short (<8 characters)
MIo7q9,c801f37ac5c205d5a9fef6e16fdff2a1938b30f224c994ab61996966eab1c899,Weak,Too short (<8 characters)
CySfQ1gbQ8,b078c62b95c6b64a15da6d0b2285a9cfd8b30d58a791f0f8c643fc122c3f823c,Medium,"Include at least one special character (@, #, $, etc.)"
32dPA2g!!2ryb,132b733105f9ca99191c95d258282985e21db9ade255ab703eda8f5694c6d489,Very Strong,Good balance of characters
eoek$b*fL,ec5aa5692cdfec54d736314740a67dc79bbdf79676bf870f6cbfbb7b611f7d5a,Medium,Include at least one number
dGlw2R0@coJvL0&1,f3f2f023333f90e51f2d5bc6bbf0c8f933929fc2faec4aa95080238cb6d98728,Very Strong,Good balance of characters
mK6u?aA,b74928b9adbddf3136096fd4508cb3422918d96bdf4cbb76137d097e2c0d9f25,Weak,Too short (<8 characters)
y*mOiuf3$&,6723cd063c2432e292a2b2986a125bfd1d2f8c8f579a996adb644aafb2f09416,Strong,Good balance of characters
T%1TcUrbL!zJK5&,4c289700b2e2575c51b0be8b2a1d3b19a7907128fe8e57f7cd0a90d9b6884aa9,Very Strong,Good balance of characters
lXoy#,04cce156f7073d3e2b8b8f3218a6b4065411ee07d98f72722a30bdefb99de5c9,Weak,Too short (<8 characters)
fMEx06#M@QTvmB@,a9e112f75f10f15e5587125f82c98129e064aadeac28e8556334a62bdfba6cc9,Very Strong,Good balance of characters
ksJyz,570b7619aa554d9f11e55177a392404594df4c5bf805584ba7c96b14e1ff4368,Weak,Too short (<8 characters)
xKZ3$t,c1ff1110e66a364ba7b599f42138089b6d68431dc684cf9d8f97860443698b05,Weak,Too short (<8 characters)
nRZv*G5W,0450cf2be04b5824c5b06df43473d785cd6da4326ed7488db9a9d8ede034b922,Strong,Good balance of characters
&Z!47&MLI0,fad26eeaaea2df7f60715c1461ebe300304bd97def957b26d991a3afe62454a9,Medium,Add at least one lowercase letter
oezCJquRj8BJeT,53b3da6310882b8045009e15e342d73a72862ca2a42fbe11d92bfe966c4b763c,Medium,"Include at least one special character (@, #, $, etc.)"
XubUi,517851db66f6a0832815590cf012529501fd4812cf32f78ddcc45f0ecddf498f,Weak,Too short (<8 characters)
4IW&#n,2efa9539d236e4d7c88532dd3d96f4823a50e88d0ff170b4fc5d247adc4fd161,Weak,Too short (<8 characters)
0x0UbkKjUf,3518e092ad29cf1e9604e08a4c926aea0789a781c2ee023adf706d0bce69cd3c,Medium,"Include at least one special character (@, #, $, etc.)"
CRwwcOZDCg,e975406074f97c4ea8b0ac880566d70e218c551a74fa9a3fda31812731b9fb64,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
AvaMlB?Rs#*,5f607cd56e10b49dc64b18041c8242eb4f127e4bcf664e92b145065ac1cba0f7,Medium,Include at least one number
WGhNmo*y!CQBkd,dc59969c7be712fe838e43b78a06e8cb51c14021bb9c0f9d4d9ee05d53dbfdf8,Medium,Include at least one number
l2mZwXjn2$k?B8,4bf5294ee7767d88838f502c66868630390680523c8715519d04d0fcc54a06a4,Very Strong,Good balance of characters
%WZqCkWSV9XMkN,430e48ab598457ce3d33d7ba7bbff5587de41bce3244139626da48f255d19a19,Very Strong,Good balance of characters
z9dRwMIx4!h,7a23d324288415b3b91975ffc117cd1ed0c8841eb2fd14efbbc781f63ffd18c7,Strong,Good balance of characters
2qnG?hzJiGZANGP,3af58105bae2f4f0e6455322a15f1112af1134b05375fbd1cffaf9722111bb8a,Very Strong,Good balance of characters
E@lGcx?P7,524df439a16d5c9bf3a4a93b72404ef4c56b48f5f7e17ab83040bb42c3b0cfa0,Strong,Good balance of characters
MIK%5LAcr?iI,b0d8005ad7309ad8e9f56339e61b39ef71f4c5623d86675fb1fa1f54f7764aa5,Very Strong,Good balance of characters
gvY7E14Is9jE3Q,ee785efe07ca07fe5962a179578c8099a2b46e229b99418941c337cd71d935a4,Medium,"Include at least one special character (@, #, $, etc.)"
Bu*ldk@,c8a6bacd5efeb001bce8c2afb6790a9b04219596fc3e6bb09a86fdb30bbd2ddb,Weak,Too short (<8 characters)
i$?VTsIAiIPK,0b02eea451217ce43cb2970a35e758f51082aee959071d1ef6d82acf6081558f,Medium,Include at least one number
26%Xiwplc@%,1fe779aa5700cb9509877371230ed18fb256e341ca0967656901d3ac0c9d26be,Strong,Good balance of characters
6h&5F,b0b4fc0ca71999acfa2180f70c712d99d3a6a87b4c2208257383bcc28c738a43,Weak,Too short (<8 characters)
dak2nz&q66,91b218d82154d0b2d18fbe4e01830f3deb7e5096f6ab7b5f30ff1b3032e571ed,Medium,Add at least one uppercase letter
8TAEI8,1a91e98d004d6b26c6e783df1cc1476b85b469745134e6836e212d75355a6839,Weak,Too short (<8 characters)
J*#of!xwXrlJA86,d4586ce716fc5302f6ee8a0b7e5f372afd66fb8111df545c250879a8e00b9234,Very Strong,Good balance of characters
4fVvqyeNgnN?XAt,bcd1c68910f7d3e1baa31ddf76d25f914002a78903dbddc6936110c598ce20b1,Very Strong,Good balance of characters
v3NAWdyhaGF3X1,826e186aeaac183324fbde1d19824899dd3a886af90accfdcbf321da54eaf335,Medium,"Include at least one special character (@, #, $, etc.)"
zt471b,d61a2ecb8adaefe9114a19305b439f5d4670cd559d6d0a5448b7b38c1cb17847,Weak,Too short (<8 characters)
fy**PK5,cb59a1fbe63c251af439a2a19ee9b9a5fccd4ac9b6f2171906e2e46198a61cf2,Weak,Too short (<8 characters)
ue?o6Kf$zuhcH7,411dd38bc5f57ab48a65fd7c1cbbba0736301a8a01284d7ed12c91a9b95f7beb,Very Strong,Good balance of characters
qrpKUFjKmHIm,9a4bfeac7856092f1d0d3d66e8f2e27e37d9b107528b548ad66b6ee3a15f6249,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
FdoJ%U8OKG4a,3d02135352edd4339b04d4f32f30f284399a6c708900ed745d77d32f6ad0cfd1,Very Strong,Good balance of characters
cJnHmsh,edae333e42bbb2130f0a9d998bd1de973de5fc173a68a38ebaab960ab43341c6,Weak,Too short (<8 characters)
Moe99G?wOWG,cba1b4c2685862dc7e207fec78ad044312d74d3674beac6e30364d38bca54b06,Strong,Good balance of characters
@M4Klhjc*IGo1,43a29639b0e5b66124228f56e80b83e7ed00f7f81ad2c6b5e71462daeedf13ea,Very Strong,Good balance of characters
8w1xG&b,84109932c33e067d859eb860b73daa799730829024b7cac582212a0131d2d190,Weak,Too short (<8 characters)
HoDC$NG9$4&1,0a5e7d278969c5873c04b2ae907219ea0ee77f72cf53fb52d9ed78a30d7ad1be,Very Strong,Good balance of characters
Qaa?Xo?5DH1u71,f12e8d42441ace1e74aff431c255b1cf999cebe0f67e3b796e2c1c201636f4d4,Very Strong,Good balance of characters
hAsS&lzaJ,9cb50dd2d0553ff3279344e287ee7f1c62693a8f19e90f01be1a02658b357f5c,Medium,Include at least one number
OGBf!lcEetdK,199c6432d7d26a776a0ebe221f572f3babe49a42cd8cdc24c96c4b615df35e8d,Medium,Include at least one number
ni6h0O2DQc,a77b410f45c8727fc65ca445c1fb14691c123965e7ebfcf32a9bb46006c4889c,Medium,"Include at least one special character (@, #, $, etc.)"
KlYW3T85sl$gv02a,2b65f76aad286b8aaa2ac9a3bea0225657258aaf7bd28505cc6c1520ea0205a3,Very Strong,Good balance of characters
Ae37?*xI9ex,73b8a532ec456e98692e29a58d6c7091efdbe4b1974f0daffc6a0f37e72c2a55,Strong,Good balance of characters
0sbI&,765e46526213492d2e4ffbef68caae5609a22e66c75068a54d4896e9d6f5218d,Weak,Too short (<8 characters)
HDv$!mbTGRj2ko,60c65ee75013a641f73082008c5ccb5e8f9953ec0fedb5fbf467f87172a08e74,Very Strong,Good balance of characters
ljTMEEU,c49b9593609906f99b3725f427f8d343afe4d1523a8ed8e8982d79aed8c2ffe7,Weak,Too short (<8 characters)
B8Om*mf&U,2aef7e81828a753b506e69bf1a72c9281b21940aaa0b07a2362c0db222693ab8,Strong,Good balance of characters
WHJ3ot*tQ2i30B,91709c68dd46230a1dc52411dc0106e47187181e9989df13cbca12b5cd9413c2,Very Strong,Good balance of characters
j4#Gv*Pq*kP,7314a4239ae946211bef7f64b7256c32efb7de24cbc3e467ef9e71460d028a74,Strong,Good balance of characters
Vrjmy7,a9aa4c2dba97c4b839730828c2b0bb3d574d32e9f01da20bd514a9ce6a4070e6,Weak,Too short (<8 characters)
4?pdJ#EH@Qm,22ffe10eba13db3ed2dc97546e39cc923fc6e2c754c98f69e49eb31e7154c6e7,Strong,Good balance of characters
BjdiDYMt,4be09a91fc2d3dd99e54733cf1ee1a8984466d2def1688b8cce74a2fa5584534,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
RWN9zT8AXaIN%*g,3502e179998e532def9afac7a1e1415b7bf52623c72b586a9b38e3f49b9aba70,Very Strong,Good balance of characters
n&M?dV,ba20fa356578dc9ae0e77dafbeebbfa2f6c44ed3bd8533f429b91c198a0e9e0b,Weak,Too short (<8 characters)
cogtQzLxO3oi,fba848c006d783423a2c6d6385a9ac073b2e31be7a07a50275a6d0f71874a780,Medium,"Include at least one special character (@, #, $, etc.)"
ecEaZZ,731bda35480e6d379d751269206071404e75537894f89abbf6d80b719de01ebb,Weak,Too short (<8 characters)
Y!TRDe3xA07GOrs,40d9d40987def96fff8f20bfdb5b49b20013eb890b54a8c2584bd95fe082aa22,Very Strong,Good balance of characters
BK7GTYeO,7c64852fbbbaaea5dab64340c7c6137e2822163186ee4b4b1bbf723c91b7f639,Medium,"Include at least one special character (@, #, $, etc.)"
xZg?!J4,a38a764f99a58237d8ce77b127f7d2292e04e71d1b0ecc4729007cfc869e35d8,Weak,Too short (<8 characters)
CVITlsst,1961383661699900ce1117d3d7c2b95e906eec33f8a96f080e1d40838ef72c0d,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
&m1JozQDQ,be96b3f6e4d08a5a61436580d72142896c91dadcf44543a481beb38f4e379523,Strong,Good balance of characters
Nitlub4%*V0MD,b8c6519ee438dd96d6984517ae5dc4212b4240a3ecbdecb69949d85bd4dd1ac3,Very Strong,Good balance of characters
G?PyjGg?1jtu,3415dd11ff9c85b23ed5b24a9d21f6822d4e75fb1289b922514de77d29d7eb25,Very Strong,Good balance of characters
1FP6E$mq?zUO4!mB,12546735ff83e5be92403cc252e664610e7aa9c7bbae57a9e5da3bd213e9fbc2,Very Strong,Good balance of characters
m0tDuia,d3cd9cd42d632b7e13c04bd318ada672379b626ae59040096dcfed607b831cb7,Weak,Too short (<8 characters)
kOfnfn7KrKWV$,9358a876e7d3d583a67937b389b760b61f2814a7ffe46b5d1b524a54d34a9ce2,Very Strong,Good balance of characters
yVCZmzvlB2UtpT#p,dfaa02177de02151742a3c36187c134a36df196c69bdbc6953e0e3a9462d745d,Very Strong,Good balance of characters
MjdWyZf3F!Hv?MYw,c0c94ac2d45a2a58cba923f62cd7c2011710cd08cfe58cff746a189023a54bea,Very Strong,Good balance of characters
#RxN3WO0zwL,fc8c6cdc39b8d44211306a1c15eb8673d5c2feaa2902074f5ebdd0d1c72f4afc,Strong,Good balance of characters
B$cID4eKJVp,c463e7a4ff80dc054ec3ca1be1ba15ccd3056d57b256f38b198c908b8289bf90,Strong,Good balance of characters
